index,target_x,target_y,target_z,target_rx,target_ry,target_rz,known_j1,known_j2,known_j3,known_j4,known_j5,known_j6,init_j1,init_j2,init_j3,init_j4,init_j5,init_j6,solved_j1,solved_j2,solved_j3,solved_j4,solved_j5,solved_j6,j1_error_signed,j1_error_abs,j2_error_signed,j2_error_abs,j3_error_signed,j3_error_abs,j4_error_signed,j4_error_abs,j5_error_signed,j5_error_abs,j6_error_signed,j6_error_abs,joint_error_mean,joint_error_max,joint_error_rms,joint_error_total,fk_pos_error_x,fk_pos_error_y,fk_pos_error_z,fk_pos_error_norm,known_fk_pos_error,converged,status,quality
0,181.6,-5.2,204.5,1.64,55.06,-3.23,-0.17,23.37,16.17,4.3,-74.61,-2.9,0.0,0.0,0.0,0.0,0.0,0.0,5.148502415669058,23.642376045066403,14.642327606282361,-159.9999999999998,74.57058125424464,-13.420357366701731,5.318502415669059,5.318502415669059,0.2723760450664088,0.2723760450664088,-1.527672393717637,1.527672393717637,-164.2999999999998,164.2999999999998,149.18058125424466,149.18058125424466,-10.520357366701717,10.520357366701717,55.18658157923321,164.2999999999998,90.729183270944,331.1194894753993,-0.0016789025829098136,0.0501282947695012,0.006456005479435589,0.050570195344010735,0.05388605810913387,True,success,excellent
1,188.2,-41.9,215.5,-9.02,53.72,-20.86,-13.62,26.19,5.8,-3.42,-67.85,-2.98,0.0,0.0,0.0,0.0,0.0,0.0,-18.688915387645483,26.413850154939414,4.243532046709973,159.99999999999912,67.72365745857488,9.811378482325694,-5.0689153876454895,5.0689153876454895,0.22385015493941296,0.22385015493941296,-1.5564679532900243,1.5564679532900243,163.4199999999991,163.4199999999991,135.57365745857487,135.57365745857487,12.791378482325683,12.791378482325683,53.10571157279576,163.4199999999991,86.86972906289182,318.63426943677456,-0.011072136841420388,-0.04753035564964847,0.009546584311578954,0.04972790156879028,0.058496317223529076,True,success,excellent
2,185.5,107.8,198.1,15.66,55.25,24.1,38.05,44.03,-13.71,28.65,-70.75,-19.07,0.0,0.0,0.0,0.0,0.0,0.0,38.04836007853198,43.94575409710622,-13.600878576254091,-151.35412840654996,70.77968733077496,-19.05833105568668,-0.0016399214680120622,0.0016399214680120622,-0.08424590289376965,0.08424590289376965,0.10912142374590417,0.10912142374590417,179.99587159345003,179.99587159345003,141.52968733077495,141.52968733077495,0.011668944313328211,0.011668944313328211,53.62203918610766,179.99587159345003,93.47832665948432,321.732235116646,2.842170943040401e-14,0.0,-2.842170943040401e-14,4.0194366942304644e-14,0.0691282862860536,True,success,excellent
3,168.6,4.7,249.1,85.23,-38.17,8.53,23.11,58.44,-84.9,78.57,-103.88,9.84,0.0,0.0,0.0,0.0,0.0,0.0,23.110216758284775,55.81741440968535,-79.85955425614763,-100.83838345664454,104.35244264108105,12.27760599080108,0.00021675828477896175,0.00021675828477896175,-2.6225855903146567,2.6225855903146567,5.040445743852388,5.040445743852388,-179.40838345664451,179.40838345664451,-151.76755735891896,151.76755735891896,2.4376059908010745,2.4376059908010745,56.879465816469406,179.40838345664451,95.96786397253663,341.27679489881643,5.684341886080802e-14,-6.217248937900877e-15,-2.842170943040401e-14,6.38562606099622e-14,0.08911706939335627,True,success,excellent
4,212.0,10.3,198.3,86.67,-37.0,25.53,20.56,73.56,-84.99,87.97,-86.57,25.83,0.0,0.0,0.0,0.0,0.0,0.0,20.565634924485444,71.37766272234012,-80.82049833866012,-92.14139909794169,86.64766423824231,27.735066250491897,0.005634924485434567,0.005634924485434567,-2.182337277659883,2.182337277659883,4.169501661339893,4.169501661339893,179.88860090205833,179.88860090205833,173.21766423824232,173.21766423824232,1.905066250491899,1.905066250491899,60.22813420904629,179.88860090205833,101.97225487677272,361.36880525427773,8.526512829121202e-14,5.3290705182007514e-14,0.0,1.0054870144020999e-13,0.058030016099277174,True,success,excellent
5,187.8,18.8,174.7,97.47,-35.08,-1.23,24.34,77.16,-84.46,93.69,-111.79,29.88,0.0,0.0,0.0,0.0,0.0,0.0,24.331795202764635,74.88580355177012,-80.06005513119476,-85.46803005379698,111.62586627773923,32.14865961647477,-0.008204797235350725,0.008204797235350725,-2.2741964482298727,2.2741964482298727,4.399944868805221,4.399944868805221,-179.15803005379698,179.15803005379698,-136.58413372226073,136.58413372226073,2.268659616474764,2.268659616474764,54.11552825113383,179.15803005379698,91.99864463270225,324.693169506803,5.684341886080802e-14,-7.105427357601002e-15,2.842170943040401e-14,6.394884621840902e-14,0.09996915433923885,True,success,excellent
6,180.4,-4.7,220.4,-91.96,-23.52,-3.74,-21.62,65.65,-85.25,-85.86,-106.69,-3.6,0.0,0.0,0.0,0.0,0.0,0.0,-21.620742727394504,63.40411100912819,-80.90684973578752,93.50251323536473,106.83963011863041,-5.781109046262988,-0.0007427273945097568,0.0007427273945097568,-2.2458889908718334,2.2458889908718334,4.343150264212483,4.343150264212483,179.36251323536476,179.36251323536476,-146.4703698813696,146.4703698813696,-2.181109046262975,2.181109046262975,55.7672956909127,179.36251323536476,94.56315756862519,334.60377414547617,-2.842170943040401e-14,1.1546319456101628e-14,0.0,3.067753347204868e-14,0.03132524503329975,True,success,excellent
7,176.0,16.5,259.6,-75.76,-24.16,-11.2,-15.29,58.62,-85.34,-73.91,-92.9,3.42,0.0,0.0,0.0,0.0,0.0,0.0,-15.300802129956557,56.347798510426266,-80.95635976172922,105.97649616177677,93.48909130689378,1.406760952590106,-0.010802129956545059,0.010802129956545059,-2.2722014895737175,2.2722014895737175,4.3836402382708,4.3836402382708,179.8864961617768,179.8864961617768,-173.61090869310624,173.61090869310624,-2.0132390474098827,2.0132390474098827,60.362881293349005,179.8864961617768,102.0852026235135,362.17728776009403,-6.59383658785373e-12,2.4868995751603507e-12,-4.263256414560601e-12,8.236425541492095e-12,0.03562802803011182,True,success,excellent
8,213.0,6.7,210.0,-75.9,-29.2,-27.0,-15.46,73.38,-85.16,-78.83,-83.14,-19.33,0.0,0.0,0.0,0.0,0.0,0.0,-15.475436117851945,70.9400200455987,-80.47341804526803,101.42878092833243,83.60005442629317,-21.548424465815486,-0.015436117851947984,0.015436117851947984,-2.439979954401281,2.439979954401281,4.686581954731963,4.686581954731963,-179.74121907166756,179.74121907166756,166.74005442629317,166.74005442629317,-2.218424465815474,2.218424465815474,59.30694933179357,179.74121907166756,100.1182557291068,355.8416959907614,5.684341886080802e-14,-2.3092638912203256e-14,0.0,6.135506694409735e-14,0.09030270917634814,True,success,excellent
9,184.2,6.1,154.0,-89.52,-18.26,12.59,-16.08,84.99,-84.37,-89.82,-118.82,-18.72,0.0,0.0,0.0,0.0,0.0,0.0,-16.630375489234776,73.24010362291511,-62.756602618887484,83.92905612868223,114.99999999999943,-30.372900415428994,-0.5503754892347672,0.5503754892347672,-11.749896377084895,11.749896377084895,21.61339738111252,21.61339738111252,173.74905612868224,173.74905612868224,-126.18000000000058,126.18000000000058,-11.652900415429002,11.652900415429002,57.582604298590674,173.74905612868224,88.36611239431218,345.49562579154406,-0.005916596544807362,0.030404993399766767,-0.0043278574186444985,0.03127619043537757,0.09265494280496198,True,success,excellent
